2021-06-15 17:37:11,731 INFO [root] [base.py __init__:15] - 正在初始化driver: <selenium.webdriver.chrome.webdriver.WebDriver (session="9ab47bb411f7416565f127cdcafccecb")>
2021-06-15 17:37:11,733 INFO [root] [page_ml_login.py page_ml_login:33] - 正在调用商城登录业务方法，用户名：user123，密码：user123
2021-06-15 17:37:11,733 INFO [root] [base.py base_find_element:20] - 正在查找元素: ('css selector', '[type="text"]')
2021-06-15 17:37:11,748 INFO [root] [base.py base_input:30] - 正在对('css selector', '[type="text"]')元素进行清空操作
2021-06-15 17:37:11,788 INFO [root] [base.py base_input:33] - 正在对('css selector', '[type="text"]')元素进行输入操作
2021-06-15 17:37:11,865 INFO [root] [base.py base_find_element:20] - 正在查找元素: ('css selector', '[type="password"]')
2021-06-15 17:37:11,873 INFO [root] [base.py base_input:30] - 正在对('css selector', '[type="password"]')元素进行清空操作
2021-06-15 17:37:11,893 INFO [root] [base.py base_input:33] - 正在对('css selector', '[type="password"]')元素进行输入操作
2021-06-15 17:37:12,953 INFO [root] [base.py base_click:38] - 正在对('xpath', '//*[@id="app"]/div[2]/div[2]/button')元素进行点击操作
2021-06-15 17:37:12,953 INFO [root] [base.py base_find_element:20] - 正在查找元素: ('xpath', '//*[@id="app"]/div[2]/div[2]/button')
2021-06-15 17:37:12,987 INFO [root] [base.py __init__:15] - 正在初始化driver: <selenium.webdriver.chrome.webdriver.WebDriver (session="9ab47bb411f7416565f127cdcafccecb")>
2021-06-15 17:37:12,989 INFO [root] [base.py base_click:38] - 正在对('xpath', '//*[@id="app"]/div[3]/div[1]/div[1]/i')元素进行点击操作
2021-06-15 17:37:12,989 INFO [root] [base.py base_find_element:20] - 正在查找元素: ('xpath', '//*[@id="app"]/div[3]/div[1]/div[1]/i')
2021-06-15 17:37:13,570 INFO [root] [base.py base_click:38] - 正在对('xpath', '//*[@id="app"]/div[2]/div[1]/div[1]/div/div')元素进行点击操作
2021-06-15 17:37:13,570 INFO [root] [base.py base_find_element:20] - 正在查找元素: ('xpath', '//*[@id="app"]/div[2]/div[1]/div[1]/div/div')
2021-06-15 17:37:13,702 INFO [root] [base.py base_find_element:20] - 正在查找元素: ('css selector', '[placeholder="请输入商品名称"]')
2021-06-15 17:37:13,710 INFO [root] [base.py base_input:30] - 正在对('css selector', '[placeholder="请输入商品名称"]')元素进行清空操作
2021-06-15 17:37:13,728 INFO [root] [base.py base_input:33] - 正在对('css selector', '[placeholder="请输入商品名称"]')元素进行输入操作
2021-06-15 17:37:13,759 INFO [root] [base.py base_find_element:20] - 正在查找元素: ('css selector', '[placeholder="请输入商品名称"]')
2021-06-15 17:37:14,296 INFO [root] [base.py base_click:38] - 正在对('xpath', '//*[@id="app"]/div[2]/div[2]/div[1]/div/div')元素进行点击操作
